model,task_id,method,strip_level,all_generated_n,all_generated_detector_accuracy,all_generated_behavioral_pass_rate,all_generated_ambiguous_rate
ollama__qwen2_5-coder__14b,branching_1,bfs,no_comments,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_1,bfs,no_imports,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_1,bfs,raw,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_1,bfs,renamed,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_1,dfs,format_normalized,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_1,dfs,no_comments,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_1,dfs,no_imports,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_1,dfs,raw,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_1,dfs,renamed,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_2,bfs,format_normalized,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_2,bfs,no_comments,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_2,bfs,no_imports,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_2,bfs,raw,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_2,bfs,renamed,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_2,dfs,format_normalized,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_2,dfs,no_comments,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_2,dfs,no_imports,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_2,dfs,raw,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_2,dfs,renamed,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_3,bfs,format_normalized,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_3,bfs,no_comments,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_3,bfs,no_imports,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_3,bfs,raw,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_3,bfs,renamed,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_3,dfs,format_normalized,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_3,dfs,no_comments,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_3,dfs,no_imports,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_3,dfs,raw,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__14b,branching_3,dfs,renamed,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_1,bfs,format_normalized,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_1,bfs,no_comments,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_1,bfs,no_imports,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_1,bfs,raw,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_1,bfs,renamed,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_1,dfs,format_normalized,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_1,dfs,no_comments,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_1,dfs,no_imports,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_1,dfs,raw,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_1,dfs,renamed,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_2,bfs,format_normalized,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_2,bfs,no_comments,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_2,bfs,no_imports,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_2,bfs,raw,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_2,bfs,renamed,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_2,dfs,format_normalized,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_2,dfs,no_comments,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_2,dfs,no_imports,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_2,dfs,raw,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_2,dfs,renamed,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_3,bfs,format_normalized,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_3,bfs,no_comments,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_3,bfs,no_imports,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_3,bfs,raw,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_3,bfs,renamed,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_3,dfs,format_normalized,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_3,dfs,no_comments,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_3,dfs,no_imports,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_3,dfs,raw,5,1.0000,1.0000,0.0000
ollama__qwen2_5-coder__32b,branching_3,dfs,renamed,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_1,bfs,format_normalized,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_1,bfs,no_comments,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_1,bfs,no_imports,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_1,bfs,raw,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_1,bfs,renamed,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_1,dfs,format_normalized,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_1,dfs,no_comments,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_1,dfs,no_imports,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_1,dfs,raw,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_1,dfs,renamed,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_2,bfs,format_normalized,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_2,bfs,no_comments,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_2,bfs,no_imports,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_2,bfs,raw,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_2,bfs,renamed,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_2,dfs,format_normalized,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_2,dfs,no_comments,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_2,dfs,no_imports,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_2,dfs,raw,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_2,dfs,renamed,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_3,bfs,format_normalized,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_3,bfs,no_comments,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_3,bfs,no_imports,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_3,bfs,raw,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_3,bfs,renamed,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_3,dfs,format_normalized,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_3,dfs,no_comments,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_3,dfs,no_imports,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_3,dfs,raw,5,1.0000,1.0000,0.0000
ollama__qwen3-coder__30b,branching_3,dfs,renamed,5,1.0000,1.0000,0.0000
